Sample,SampleName,SampleDescription,StudyID,Type
PS1,X1D,1D,PresentStudy,Diesel
PS2,X2D,2D,PresentStudy,Diesel
PS3,X3D,3D,PresentStudy,Diesel
PS4,X4D,4D,PresentStudy,Diesel
PS5,X5D,5D,PresentStudy,Diesel
PS6,X6D,6D,PresentStudy,Diesel
PS7,X7D,7D,PresentStudy,Diesel
PS8,X8D,8D,PresentStudy,Diesel
PS9,X9D,9D,PresentStudy,Diesel
PS10,X10D,10D,PresentStudy,Diesel
PS11,X11G,11G,PresentStudy,Gasoline
PS12,X12G,12G,PresentStudy,Gasoline
PS13,X13G,13G,PresentStudy,Gasoline
PS14,X14G,14G,PresentStudy,Gasoline
PS15,X15G,15G,PresentStudy,Gasoline
PS16,X16G,16G,PresentStudy,Gasoline
PS17,X17G,17G,PresentStudy,Gasoline
PS18,X18G,18G,PresentStudy,Gasoline
PS19,X19G,19G,PresentStudy,Gasoline
PS20,X20G,20G,PresentStudy,Gasoline
SolarPanel1,SP1,SP1,Tanner.etal.2020,Other
SolarPanel20,SP20,SP20,Tanner.etal.2020,Other
SolarPanel31,SP31,SP31,Tanner.etal.2020,Other
SolarPanel50,SP50,SP50,Tanner.etal.2020,Other
SRR8663218,SRR8663218,ConsBiphPhenantrene,PRJNA525339,Other
SRR8663217,SRR8663217,ConsBiphHexane,PRJNA525339,Other
SRR8663216,SRR8663216,ConsBiphNaphtalene,PRJNA525339,Other
SRR8663214,SRR8663214,ConsBiphDiesel,PRJNA525339,Other
SRR8663213,SRR8663213,ConsBiphHeptadecane,PRJNA525339,Other
SRR8663212,SRR8663212,ConsBiphTetracosane,PRJNA525339,Other
SRR8291938,SRR8291938,DieselSpillCompost1,PRJNA384633,Other
SRR8291935,SRR8291935,DieselSpillCompost2,PRJNA384633,Other
SRR8291934,SRR8291934,DieselSpillCompost3,PRJNA384633,Other
SRR8292103,SRR8292103,DieselSpillCompost4,PRJNA384633,Other
SRR8291942,SRR8291942,DieselSpillControl1,PRJNA384633,Other
SRR8291937,SRR8291937,DieselSpillControl2,PRJNA384633,Other
SRR8291936,SRR8291936,DieselSpillControl3,PRJNA384633,Other
SRR8291939,SRR8291939,DieselSpillControl4,PRJNA384633,Other
SRR5457302,SRR5457302,Soilcontrolday1,PRJNA378860,Other
SRR5457301,SRR5457301,Soilcontrolday22,PRJNA378860,Other
SRR5457300,SRR5457300,Soilpetroleumday22,PRJNA378860,Other
SRR5457299,SRR5457299,Soildieselday22,PRJNA378860,Other
SRR5457298,SRR5457298,Soilgasolineday22,PRJNA378860,Other
SRR15809783,SRR15809783,Replicate.1.MEDIUM.HYDROCARBON.CONTAMINATION.Miejsce.Piastowe-Lezany.hydrocarbon-impacted.soil...Poland,PRJNA761266,Other
SRR15809782,SRR15809782,Replicate.2.MEDIUM.HYDROCARBON.CONTAMINATION.Miejsce.Piastowe-Lezany.hydrocarbon-impacted.soil...Poland,PRJNA761266,Other
SRR15809781,SRR15809781,Replicate.3.MEDIUM.HYDROCARBON.CONTAMINATION.Miejsce.Piastowe-Lezany.hydrocarbon-impacted.soil...Poland,PRJNA761266,Other
SRR15809786,SRR15809786,Replicate.1.UNCONTAMINATED.SOIL.Miejsce.Piastowe-Lezany.pristine.soil.Poland,PRJNA761266,Other
SRR15809785,SRR15809785,Replicate.2.UNCONTAMINATED.SOIL.Miejsce.Piastowe-Lezany.pristine.soil.Poland,PRJNA761266,Other
SRR15809784,SRR15809784,Replicate.3.UNCONTAMINATED.SOIL.Miejsce.Piastowe-Lezany.pristine.soil.Poland,PRJNA761266,Other
SRR15809790,SRR15809790,Replicate.1.HIGH.HYDROCARBON.CONTAMINATION.Miejsce.Piastowe-Lezany.seep.soil.Poland,PRJNA761266,Other
SRR15809789,SRR15809789,Replicate.2.HIGH.HYDROCARBON.CONTAMINATION.Miejsce.Piastowe-Lezany.seep.soil.Poland,PRJNA761266,Other
SRR15809787,SRR15809787,Replicate.3.HIGH.HYDROCARBON.CONTAMINATION.Miejsce.Piastowe-Lezany.seep.soil.Poland,PRJNA761266,Other
SRR15809793,SRR15809793,Replicate.1.MEDIUM.HYDROCARBON.CONTAMINATION.Losie.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809792,SRR15809792,Replicate.2.MEDIUM.HYDROCARBON.CONTAMINATION.Losie.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809791,SRR15809791,Replicate.3.MEDIUM.HYDROCARBON.CONTAMINATION.Losie.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809796,SRR15809796,Replicate.1.UNCONTAMINATED.Losie.pristine.soil.Poland,PRJNA761266,Other
SRR15809795,SRR15809795,Replicate.2.UNCONTAMINATED.Losie.pristine.soil.Poland,PRJNA761266,Other
SRR15809794,SRR15809794,Replicate.3.UNCONTAMINATED.Losie.pristine.soil.Poland,PRJNA761266,Other
SRR15809711,SRR15809711,Replicate.1.HIGH.HYDROCARBON.CONTAMINATION.Losie.seep.soil.Poland,PRJNA761266,Other
SRR15809798,SRR15809798,Replicate.2.HIGH.HYDROCARBON.CONTAMINATION.Losie.seep.soil.Poland,PRJNA761266,Other
SRR15809797,SRR15809797,Replicate.3.HIGH.HYDROCARBON.CONTAMINATION.Losie.seep.soil.Poland,PRJNA761266,Other
SRR15809770,SRR15809770,Replicate.1.MEDIUM.HYDROCARBON.CONTAMIANTION.Owczary.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809769,SRR15809769,Replicate.2.MEDIUM.HYDROCARBON.CONTAMIANTION.Owczary.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809768,SRR15809768,Replicate.3.MEDIUM.HYDROCARBON.CONTAMIANTION.Owczary.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809773,SRR15809773,Replicate.1.UNCONTAMINATED.Owczary.pristine.soil.Poland,PRJNA761266,Other
SRR15809772,SRR15809772,Replicate.2.UNCONTAMINATED.Owczary.pristine.soil.Poland,PRJNA761266,Other
SRR15809771,SRR15809771,Replicate.3.UNCONTAMINATED.Owczary.pristine.soil.Poland,PRJNA761266,Other
SRR15809776,SRR15809776,Replicate.1.HIGH.HYDROCARBON.CONTAMINATION.Owczary.seep.soil.Poland,PRJNA761266,Other
SRR15809775,SRR15809775,Replicate.2.HIGH.HYDROCARBON.CONTAMINATION.Owczary.seep.soil.Poland,PRJNA761266,Other
SRR15809774,SRR15809774,Replicate.3.HIGH.HYDROCARBON.CONTAMINATION.Owczary.seep.soil.Poland,PRJNA761266,Other
SRR15809728,SRR15809728,Replicate.1.MEDIUM.HYDROCARBON.CONTAMINATION.Sekowa.hydrocarbon-impacted.soil.POLAND,PRJNA761266,Other
SRR15809727,SRR15809727,Replicate.2.MEDIUM.HYDROCARBON.CONTAMINATION.Sekowa.hydrocarbon-impacted.soil.POLAND,PRJNA761266,Other
SRR15809726,SRR15809726,Replicate.3.MEDIUM.HYDROCARBON.CONTAMINATION.Sekowa.hydrocarbon-impacted.soil.POLAND,PRJNA761266,Other
SRR15809731,SRR15809731,Replicate.1.UNCONTAMINATED.Sekowa.pristine.soil.Poland,PRJNA761266,Other
SRR15809730,SRR15809730,Replicate.2.UNCONTAMINATED.Sekowa.pristine.soil.Poland,PRJNA761266,Other
SRR15809729,SRR15809729,Replicate.3.UNCONTAMINATED.Sekowa.pristine.soil.Poland,PRJNA761266,Other
SRR15809735,SRR15809735,Replicate.1.HIGH.HYDROCARBON.CONTAMINATION.Sekowa.seep.soil.Poland,PRJNA761266,Other
SRR15809734,SRR15809734,Replicate.2.HIGH.HYDROCARBON.CONTAMINATION.Sekowa.seep.soil.Poland,PRJNA761266,Other
SRR15809732,SRR15809732,Replicate.3.HIGH.HYDROCARBON.CONTAMINATION.Sekowa.seep.soil.Poland,PRJNA761266,Other
SRR15809744,SRR15809744,Replicate.1.MEDIUM.HYDROCARBON.CONTAMINATION.Bobrka.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809733,SRR15809733,Replicate.2.MEDIUM.HYDROCARBON.CONTAMINATION.Bobrka.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809722,SRR15809722,Replicate.3.MEDIUM.HYDROCARBON.CONTAMINATION.Bobrka.hydrocarbon-impacted.soil.Poland,PRJNA761266,Other
SRR15809777,SRR15809777,Replicate.1.UNCONTAMINATED.Bobrka.pristine.soil.Poland,PRJNA761266,Other
SRR15809766,SRR15809766,Replicate.2.UNCONTAMINATED.Bobrka.pristine.soil.Poland,PRJNA761266,Other
SRR15809755,SRR15809755,Replicate.3.UNCONTAMINATED.Bobrka.pristine.soil.Poland,PRJNA761266,Other
SRR15809800,SRR15809800,Replicate.1.HIGH.HYDROCARBON.CONTAMINATION.Bobrka.seep.soil.Poland,PRJNA761266,Other
SRR15809799,SRR15809799,Replicate.2.HIGH.HYDROCARBON.CONTAMINATION.Bobrka.seep.soil.Poland,PRJNA761266,Other
SRR15809788,SRR15809788,Replicate.3.HIGH.HYDROCARBON.CONTAMINATION.Bobrka.seep.soil.Poland,PRJNA761266,Other
SRR10261600,SRR10261600,OilPlantGrabownica,PRJNA577076,Other
SRR12527666,SRR12527666,Wietze.asphalt.lake.2,PRJNA560138,Other
SRR12527667,SRR12527667,Wietze.asphalt.lake.1,PRJNA560138,Other
SRR12527658,SRR12527658,Wietze.asphalt.lake.3,PRJNA560138,Other
SRR8259026,SRR8259026,Polluted.rhizosphere.soil.1,PRJNA507467,Other
SRR8259028,SRR8259028,Polluted.rhizosphere.soil.2,PRJNA507467,Other
SRR8259029,SRR8259029,Polluted.rhizosphere.soil.3,PRJNA507467,Other
SRR8259030,SRR8259030,Polluted.rhizosphere.soil.4,PRJNA507467,Other
SRR8259031,SRR8259031,Polluted.rhizosphere.soil.5,PRJNA507467,Other
SRR8259032,SRR8259032,Polluted.rhizosphere.soil.6,PRJNA507467,Other
SRR8259033,SRR8259033,Polluted.rhizosphere.soil.7,PRJNA507467,Other
SRR8259034,SRR8259034,Polluted.rhizosphere.soil.8,PRJNA507467,Other
SRR8259027,SRR8259027,Polluted.rhizosphere.soil.9,PRJNA507467,Other
SRR8259035,SRR8259035,Polluted.rhizosphere.soil.10,PRJNA507467,Other
SRR8259036,SRR8259036,Polluted.rhizosphere.soil.11,PRJNA507467,Other
SRR8259037,SRR8259037,Polluted.rhizosphere.soil.12,PRJNA507467,Other
SRR8259038,SRR8259038,Polluted.rhizosphere.soil.13,PRJNA507467,Other
SRR9964197,SRR9964197,Sediment.core.1,PRJNA560138,Other
SRR9964198,SRR9964198,Sediment.core.2,PRJNA560138,Other
SRR9964175,SRR9964175,Sediment.core.3,PRJNA560138,Other
